source_file,line,matched_text,surface_form,target_family,target_file,target_anchor,confidence,applied,reason,context
guides/systems/bgs.html,133,Federal Corvette,federal corvette,ship-dossier,ships/dossiers/federal-corvette-multipurpose.html,,0.78,yes,role=multipurpose,", earned by working for their aligned factions — this is what eventually unlocks rank-gated ships like the Federal Corve"
guides/systems/bgs.html,133,Imperial Cutter,imperial cutter,ship-dossier,ships/dossiers/imperial-cutter-multipurpose.html,,0.78,yes,role=multipurpose,", earned by working for their aligned factions — this is what eventually unlocks rank-gated ships like the Federal Corve"
guides/systems/bgs.html,176,Sidewinder,sidewinder,ship-dossier,ships/dossiers/sidewinder-mk-i-combat.html,,0.75,yes,role=combat alias,"You can affect the BGS in a loaner Sidewinder, on foot in a starter suit, with zero engineering and no Elite rank. What "
guides/systems/bgs.html,251,Kill Warrant Scanner,kill warrant scanner,module,engineering/modules.html,module-scanners,0.85,yes,ambig->module (default),Kill Warrant Scanner
guides/systems/bgs.html,264,Cutter,cutter,ship-dossier,ships/dossiers/imperial-cutter-ax.html,,0.82,yes,role=ax alias,"(""Cutter tax""): if demand is under ~4× your hold, your sell price is docked. Carry several high-profit goods rather than"
guides/systems/bgs.html,383,refinery,refinery,module,engineering/modules.html,module-refinery,0.85,yes,ambig->module (default),(industrial/refinery systems in expansion offer allied Commanders mineral source-return missions worth up to
guides/systems/cmdrs-lexicon.html,87,FSD,fsd,module,engineering/modules.html,module-frame-shift-drive,0.85,yes,ambig->module (default),FSD
guides/systems/cmdrs-lexicon.html,115,Federation,federation,superpower,systems/superpower-rank.html,superpower-fed,0.6,no,superpower (no rank ctx),Federation capital
guides/systems/cmdrs-lexicon.html,160,FSD,fsd,module,engineering/modules.html,module-frame-shift-drive,0.85,yes,ambig->module (default),FSD / Frame Shift Drive
guides/systems/cmdrs-lexicon.html,160,Frame Shift Drive,frame shift drive,module,engineering/modules.html,module-frame-shift-drive,0.85,yes,ambig->module (default),FSD / Frame Shift Drive
guides/systems/cmdrs-lexicon.html,161,Fuel Scoop,fuel scoop,module,engineering/modules.html,module-fuel-scoop,0.85,yes,ambig->module (default),Fuel Scoop
guides/systems/cmdrs-lexicon.html,164,FSD,fsd,module,engineering/modules.html,module-frame-shift-drive,0.85,yes,ambig->module (default),FSD travel
guides/systems/cmdrs-lexicon.html,166,FSD,fsd,module,engineering/modules.html,module-frame-shift-drive,0.85,yes,ambig->module (default),supercharge FSD range
guides/systems/cmdrs-lexicon.html,166,FSD,fsd,module,engineering/modules.html,module-frame-shift-drive,0.85,yes,ambig->module (default),"at a neutron star, a smaller, riskier boost at a white dwarf — at the cost of FSD damage. An"
guides/systems/cmdrs-lexicon.html,171,FSD,fsd,module,engineering/modules.html,module-frame-shift-drive,0.85,yes,ambig->module (default),out of FSD charge
guides/systems/cmdrs-lexicon.html,174,FSD,fsd,module,engineering/modules.html,module-frame-shift-drive,0.85,yes,ambig->module (default),A recent FSD mode (Update 18) for
guides/systems/cmdrs-lexicon.html,193,Shield Cell Bank,shield cell bank,module,engineering/modules.html,module-shield-cell-bank,0.85,yes,ambig->module (default),Shield Cell Bank
guides/systems/cmdrs-lexicon.html,196,Chaff,chaff,module,engineering/modules.html,module-countermeasures,0.85,yes,module,Chaff
guides/systems/cmdrs-lexicon.html,197,Countermeasures,countermeasures,module,engineering/modules.html,module-countermeasures,0.85,yes,module,ECM / Electronic Countermeasures
guides/systems/cmdrs-lexicon.html,200,reinforced,reinforced,blueprint,engineering/blueprints.html,blueprint-life-support-reinforced,0.5,no,blueprint generic (log only),reinforced hull
